ID#,R-SCORE,L-SCORE,FARM,DIEBLS, INP
1,6,2,Y,0,1
2,11,3,Y,0,1
3,7,5,Y,0,1
4,10,5,Y,0,1
5, ,6,Y,0,1
6,0,7,Y,0,1
7,19,7,Y,0,1
8,14,8,Y,0,1
9,14,8,Y,0,1
10,12,9,Y,0,1
11,13,9,Y,0,1
12,13,9,N,0,1
13,0,10,Y,0,1
14,5,11,Y,0,1
15,9,11,N,0,1
16,14,11,Y,0,1
17,17,11,Y,0,1
18,1,12,Y,0,1
19,3,12,Y,0,1
20,8,12,N,0,1
21,13,13,Y,0,1
22,16,13,N,0,1
23,16,13,N,0,1
24,17,13,N,0,1
25,3,14,Y,0,1
26,8,18,Y,0,1
27,16,19,Y,0,1
28,18,20,Y,0,1
29,11,21,Y,0,1
30,6, ,N,0,1
31,8, ,N,0,1
32,8, ,Y,0,1
33,13, ,N,0,1
34,21, ,N,0,1
35,4,8,Y,2,1
36,21,15,Y,3,1
37,11, ,Y,3,1
38,8,12,Y,4,1
39,17,12,Y,4,1
40,12,14,Y,4,1
41,16,17,N,4,1
42,17,19,N,4,1
43,13,12,Y,5,1
44,16,14,Y,6,1
45,17,15,N,6,1
46,16,16,Y,6,1
47,12,7,Y,7,1
48,12,16,N,7,1
49,13,8,Y,8,1
50,14,10,Y,8,1
51,11,11,Y,8,1
52,8,12,Y,8,1
53,14,13,N,8,1
54, ,15,Y,8,1
55,0,16,Y,8,1
56,17,19,N,8,1
57, ,13,Y,9,1
58,14,18,Y,10,1
59,12,12,Y,11,1
60,15, ,Y,11,1
61,14,9,N,12,1
62,16,13,N,12,1
63,14,15,Y,12,1
64,19,16,Y,12,1
65,21,17,N,12,1
66,16,18,Y,12,1
67,15,14,N,13,1
68,15,14,N,13,1
69,17,20,Y,13,1
70,16,15,N,14,0
71,11,17,Y,14,0
72,19,18,Y,14,0
73,15,13,N,15,0
74,15,12,N,16,0
75,14,15,N,16,0
76,18,17,Y,16,0
77,9,18,Y,16,0
78,17,18,N,16,0
79,15, ,Y,16,0
80,16,15,N,17,0
81,15,16,Y,17,0
82,16,16,N,17,0
83,16,18,N,17,0
84,19,21,N,17,0
85,12,13,N,18,0
86,18,14,N,18,0
87,11,18,N,18,0
88,19,18,N,18,0
89,15,21,Y,18,0
90,15,17,Y,19,0
91, ,17,Y,19,0
92,16,18,N,19,0
93,18,19,Y,19,0
94,15,12,Y,20,0
95,20,18,Y,20,0
96,20,20,N,20,0
97,16,21,N,20,0
98,10,13,Y,21,0
99,20,15,N,21,0
100,17,18,Y,21,0
101,20,19,N,21,0
102,19,21,N,21,0
103,19,16,N,22,0
104,19,17,Y,22,0
105,17,18,Y,22,0
106,16,19,Y,22,0
107,17,19,Y,22,0
108,21,19,Y,22,0
109,18,20,Y,22,0
110,19,21,Y,22,0
111,14,12,Y,23,0
112,16,13,Y,23,0
113,17,19,N,23,0
114,19,20,N,23,0
115,21,20,Y,23,0
116,19,21,N,23,0
117,21,17,N,24,0
118,15,19,Y,24,0
119, ,21,N,24,0
120,18,20,Y,25,0
121,17,21,Y,25,0
122,15, ,Y,25,0
123,11,11,Y,26,0
124,17,16,N,26,0
125,16,17,Y,26,0
126,19,17,Y,26,0
127,15,18,N,26,0
128,19,21,N,26,0
129,20,21,Y,26,0
130,18,13,N,27,0
131,18,16,Y,27,0
132,13,18,Y,27,0
133,20,20,N,27,0
134,15,19,N,28,0
135,19,19,Y,28,0
136,15,20,N,28,0
137,21,21,N,28,0
138,19, ,N,28,0
139,17,19,Y,29,0
140,21,20,N,29,0
141,17,16,Y,30,0
142,17,17,N,30,0
143,18,19,Y,30,0
144,18,20,Y,30,0
145,19,20,Y,30,0
146,19,21,Y,30,0
147,19,20,N,31,0
148,18,21,Y,31,0
149,18,21,N,31,0
150,16,13,Y,32,0
151,16,14,N,32,0
152,19,16,Y,32,0
153,16,19,N,32,0
154,15,21,N,32,0
155,18,21,Y,32,0
156,20,21,N,32,0
157,14,18,Y,33,0
158,19,19,Y,33,0
159,19,21,N,33,0
160,19,16,Y,34,0
161,20,18,Y,34,0
162,19,19,Y,34,0
163,20,19,N,34,0
164,17,20,Y,34,0
165,20,21,Y,34,0
166,21,21,Y,34,0
167,16,15,Y,35,0
168,20,20,Y,35,0
169,17,19,Y,36,0
170,18,20,N,36,0
171,20,20,N,36,0
172,16,19,Y,37,0
173,19,19,Y,37,0
174,20,20,N,37,0
175,20,16,N,38,0
176,20,17,N,38,0
177,20,20,N,38,0
178,21,20,N,39,0
179,17,16,N,40,0
180,19,18,Y,41,0
181,18,21,N,41,0
182,20,21,N,42,0
183,19,19,N,44,0
184,19,20,N,50,0
185,20,20,Y,52,0
